                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9507,                 2.6399,                 1.6346,                0.29456,                0.43661,                0.30014,                0.12629,                 1.9383,                 2.3473,                 1.5788,             0.00047272,             0.00047272,             0.00047272
                      2,                 1.8334,                 1.9236,                 1.5379,                0.53554,                0.56615,                0.51633,                0.21007,                 1.9259,                  1.679,                 1.6375,             0.00093966,             0.00093966,             0.00093966
                      3,                 1.8707,                 1.8428,                 1.5605,                0.46247,                0.39962,                0.32818,                0.13091,                 2.0259,                 2.0216,                 1.6484,              0.0013972,              0.0013972,              0.0013972
                      4,                 1.8588,                 1.7142,                 1.5418,                0.57722,                0.63788,                0.62155,                0.28861,                 1.8098,                 1.4856,                 1.5184,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.8224,                 1.5898,                 1.5118,                0.66875,                0.66386,                0.68461,                0.30437,                 1.8376,                 1.2755,                 1.5164,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.7718,                 1.4859,                 1.4904,                0.74309,                0.67903,                0.74862,                0.34033,                 1.8474,                 1.3219,                 1.5281,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.7651,                 1.4482,                 1.4811,                0.81344,                0.67447,                0.74497,                0.36207,                 1.7631,                 1.0909,                 1.4858,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.7298,                 1.3539,                 1.4523,                0.74331,                0.70089,                0.77665,                0.35792,                 1.7641,                 1.1833,                 1.4724,                0.00133,                0.00133,                0.00133
                      9,                 1.7178,                 1.3374,                 1.4458,                  0.674,                0.75241,                0.78224,                0.38864,                 1.7282,                 1.0809,                 1.4145,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.6561,                 1.2543,                 1.4126,                0.70646,                0.78742,                0.79379,                0.39538,                 1.6947,                 1.1456,                 1.4343,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.6605,                 1.2345,                 1.4233,                0.75654,                0.70705,                0.77446,                0.37537,                 1.7019,                 1.1188,                 1.4135,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.6324,                 1.1858,                 1.3978,                 0.8055,                0.79666,                0.85244,                0.42846,                 1.6842,                0.94342,                 1.4359,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.6142,                  1.176,                 1.3928,                0.80112,                0.63923,                0.71849,                0.32515,                 1.8417,                 1.0892,                 1.4777,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.5878,                 1.1215,                 1.3814,                0.83187,                0.84071,                0.86281,                0.42769,                 1.7108,                 0.9499,                 1.4509,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.5941,                 1.1322,                 1.3873,                0.72765,                0.80542,                0.83222,                0.44272,                 1.6527,                 0.9829,                 1.3885,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.5725,                  1.098,                 1.3691,                0.80593,                0.81991,                0.84308,                0.43418,                 1.6552,                0.85009,                 1.3848,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.5563,                 1.0859,                 1.3587,                0.81107,                0.81281,                0.86503,                0.44251,                 1.6316,                0.92349,                 1.4027,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.5171,                 1.0219,                 1.3306,                0.83391,                0.82287,                0.87999,                0.44985,                 1.6568,                 0.8729,                 1.3767,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.5297,                 1.0392,                 1.3361,                0.85034,                0.85341,                0.88238,                0.46121,                 1.6206,                0.84068,                  1.351,              0.0011744,              0.0011744,              0.0011744
